pcode,timestamp,label
P40,2019-05-22 13:00:00+09:00,0.0
P40,2019-05-22 13:15:00+09:00,104.0
P40,2019-05-22 13:30:00+09:00,326.0
P40,2019-05-22 13:45:00+09:00,0.0
P40,2019-05-22 14:00:00+09:00,0.0
P40,2019-05-22 14:15:00+09:00,0.0
P40,2019-05-22 14:30:00+09:00,0.0
P40,2019-05-22 14:45:00+09:00,0.0
P40,2019-05-22 15:00:00+09:00,0.0
P40,2019-05-22 15:15:00+09:00,4.0
P40,2019-05-22 15:30:00+09:00,0.0
P40,2019-05-22 15:45:00+09:00,0.0
P40,2019-05-22 16:00:00+09:00,0.0
P40,2019-05-22 16:15:00+09:00,0.0
P40,2019-05-22 16:30:00+09:00,0.0
P40,2019-05-22 16:45:00+09:00,18.0
P40,2019-05-22 17:00:00+09:00,138.0
P40,2019-05-22 17:15:00+09:00,0.0
P40,2019-05-22 17:30:00+09:00,0.0
P40,2019-05-22 17:45:00+09:00,0.0
P40,2019-05-22 18:00:00+09:00,180.0
P40,2019-05-22 18:15:00+09:00,198.0
P40,2019-05-22 18:30:00+09:00,316.0
P40,2019-05-22 18:45:00+09:00,470.0
P40,2019-05-22 19:00:00+09:00,38.0
P40,2019-05-22 19:15:00+09:00,718.0
P40,2019-05-22 19:30:00+09:00,86.0
P40,2019-05-22 19:45:00+09:00,22.0
P40,2019-05-22 20:00:00+09:00,60.0
P40,2019-05-22 20:15:00+09:00,148.0
P40,2019-05-22 20:30:00+09:00,10.0
P40,2019-05-22 20:45:00+09:00,116.0
P40,2019-05-22 21:00:00+09:00,234.0
P40,2019-05-22 21:15:00+09:00,642.0
P40,2019-05-22 21:30:00+09:00,2.0
P40,2019-05-22 21:45:00+09:00,0.0
P40,2019-05-22 22:00:00+09:00,0.0
P40,2019-05-22 22:15:00+09:00,0.0
P40,2019-05-22 22:30:00+09:00,0.0
P40,2019-05-22 22:45:00+09:00,0.0
P40,2019-05-22 23:00:00+09:00,0.0
P40,2019-05-22 23:15:00+09:00,0.0
P40,2019-05-22 23:30:00+09:00,0.0
P40,2019-05-22 23:45:00+09:00,0.0
P40,2019-05-23 00:00:00+09:00,0.0
P40,2019-05-23 00:15:00+09:00,0.0
P40,2019-05-23 00:30:00+09:00,0.0
P40,2019-05-23 00:45:00+09:00,0.0
P40,2019-05-23 01:00:00+09:00,0.0
P40,2019-05-23 01:15:00+09:00,0.0
P40,2019-05-23 01:30:00+09:00,0.0
P40,2019-05-23 01:45:00+09:00,0.0
P40,2019-05-23 02:00:00+09:00,0.0
P56,2019-04-30 14:15:00+09:00,334.0
P56,2019-04-30 14:30:00+09:00,84.0
P56,2019-04-30 14:45:00+09:00,0.0
P56,2019-04-30 15:00:00+09:00,0.0
P56,2019-04-30 15:15:00+09:00,0.0
P56,2019-04-30 15:30:00+09:00,0.0
P56,2019-04-30 15:45:00+09:00,0.0
P56,2019-04-30 16:00:00+09:00,0.0
P56,2019-04-30 16:15:00+09:00,0.0
P56,2019-04-30 16:30:00+09:00,0.0
P56,2019-04-30 16:45:00+09:00,0.0
P56,2019-04-30 17:00:00+09:00,0.0
P56,2019-04-30 17:15:00+09:00,0.0
P56,2019-04-30 17:30:00+09:00,0.0
P56,2019-04-30 17:45:00+09:00,0.0
P56,2019-04-30 18:00:00+09:00,0.0
P56,2019-04-30 18:15:00+09:00,0.0
P56,2019-04-30 18:30:00+09:00,0.0
P56,2019-04-30 18:45:00+09:00,0.0
P56,2019-04-30 19:00:00+09:00,0.0
P56,2019-04-30 19:15:00+09:00,0.0
P56,2019-04-30 19:30:00+09:00,0.0
P56,2019-04-30 19:45:00+09:00,0.0
P56,2019-04-30 20:00:00+09:00,0.0
P56,2019-04-30 20:15:00+09:00,0.0
P56,2019-04-30 20:30:00+09:00,0.0
P56,2019-04-30 20:45:00+09:00,0.0
P56,2019-04-30 21:00:00+09:00,0.0
P56,2019-04-30 21:15:00+09:00,14.0
P56,2019-04-30 21:30:00+09:00,124.0
P56,2019-04-30 21:45:00+09:00,358.0
P56,2019-04-30 22:00:00+09:00,416.0
P56,2019-04-30 22:15:00+09:00,0.0
P56,2019-04-30 22:30:00+09:00,0.0
P56,2019-04-30 22:45:00+09:00,0.0
P56,2019-04-30 23:00:00+09:00,0.0
P56,2019-04-30 23:15:00+09:00,0.0
P56,2019-04-30 23:30:00+09:00,0.0
P56,2019-04-30 23:45:00+09:00,0.0
P56,2019-05-01 00:00:00+09:00,0.0
P56,2019-05-01 00:15:00+09:00,0.0
P56,2019-05-01 00:30:00+09:00,0.0
P56,2019-05-01 00:45:00+09:00,0.0
P56,2019-05-01 01:00:00+09:00,0.0
P56,2019-05-01 01:15:00+09:00,0.0
P56,2019-05-01 01:30:00+09:00,0.0
P56,2019-05-01 01:45:00+09:00,0.0
P56,2019-05-01 02:00:00+09:00,0.0
P56,2019-05-01 02:15:00+09:00,0.0
P56,2019-05-01 02:30:00+09:00,0.0
P56,2019-05-01 02:45:00+09:00,0.0
P56,2019-05-01 03:00:00+09:00,0.0
P56,2019-05-01 03:15:00+09:00,0.0
P56,2019-05-01 03:30:00+09:00,0.0
P56,2019-05-01 03:45:00+09:00,0.0
P56,2019-05-01 04:00:00+09:00,0.0
P56,2019-05-01 04:15:00+09:00,0.0
P56,2019-05-01 04:30:00+09:00,0.0
P56,2019-05-01 04:45:00+09:00,0.0
P56,2019-05-01 05:00:00+09:00,0.0
P56,2019-05-01 05:15:00+09:00,0.0
P56,2019-05-01 05:30:00+09:00,0.0
P56,2019-05-01 05:45:00+09:00,0.0
P56,2019-05-01 06:00:00+09:00,0.0
P56,2019-05-01 06:15:00+09:00,0.0
P56,2019-05-01 06:30:00+09:00,0.0
P56,2019-05-01 06:45:00+09:00,0.0
P56,2019-05-01 07:00:00+09:00,0.0
P56,2019-05-01 07:15:00+09:00,0.0
P56,2019-05-01 07:30:00+09:00,0.0
P56,2019-05-01 07:45:00+09:00,0.0
P56,2019-05-01 08:00:00+09:00,0.0
P56,2019-05-01 08:15:00+09:00,0.0
P56,2019-05-01 08:30:00+09:00,0.0
P56,2019-05-01 08:45:00+09:00,0.0
P56,2019-05-01 09:00:00+09:00,0.0
P56,2019-05-01 09:15:00+09:00,0.0
P56,2019-05-01 09:30:00+09:00,0.0
P56,2019-05-01 09:45:00+09:00,0.0
P56,2019-05-01 10:00:00+09:00,148.0
P56,2019-05-01 10:15:00+09:00,710.0
P56,2019-05-01 10:30:00+09:00,206.0
P56,2019-05-01 10:45:00+09:00,0.0
P56,2019-05-01 11:00:00+09:00,0.0
P56,2019-05-01 11:15:00+09:00,0.0
P56,2019-05-01 11:30:00+09:00,146.0
P56,2019-05-01 11:45:00+09:00,636.0
P56,2019-05-01 12:00:00+09:00,0.0
P56,2019-05-01 12:15:00+09:00,784.0
P56,2019-05-01 12:30:00+09:00,0.0
P56,2019-05-01 12:45:00+09:00,0.0
P56,2019-05-01 13:00:00+09:00,0.0
P56,2019-05-01 13:15:00+09:00,0.0
P56,2019-05-01 13:30:00+09:00,0.0
P56,2019-05-01 13:45:00+09:00,0.0
P56,2019-05-01 14:00:00+09:00,0.0
P56,2019-05-01 14:15:00+09:00,140.0
P56,2019-05-01 14:30:00+09:00,12.0
P56,2019-05-01 14:45:00+09:00,18.0
P56,2019-05-01 15:00:00+09:00,0.0
P56,2019-05-01 15:15:00+09:00,0.0
P56,2019-05-01 15:30:00+09:00,540.0
P56,2019-05-01 15:45:00+09:00,318.0
P56,2019-05-01 16:00:00+09:00,0.0
P56,2019-05-01 16:15:00+09:00,0.0
P56,2019-05-01 16:30:00+09:00,358.0
P56,2019-05-01 16:45:00+09:00,20.0
P56,2019-05-01 17:00:00+09:00,0.0
P56,2019-05-01 17:15:00+09:00,0.0
P56,2019-05-01 17:30:00+09:00,0.0
P56,2019-05-01 17:45:00+09:00,10.0
P56,2019-05-01 18:00:00+09:00,0.0
P56,2019-05-01 18:15:00+09:00,126.0
P56,2019-05-01 18:30:00+09:00,12.0
P56,2019-05-01 18:45:00+09:00,0.0
P56,2019-05-01 19:00:00+09:00,0.0
P56,2019-05-01 19:15:00+09:00,0.0
P56,2019-05-01 19:30:00+09:00,0.0
P56,2019-05-01 19:45:00+09:00,0.0
P56,2019-05-01 20:00:00+09:00,0.0
P56,2019-05-01 20:15:00+09:00,0.0
P56,2019-05-01 20:30:00+09:00,0.0
P56,2019-05-01 20:45:00+09:00,0.0
P56,2019-05-01 21:00:00+09:00,0.0
P56,2019-05-01 21:15:00+09:00,0.0
P56,2019-05-01 21:30:00+09:00,0.0
P56,2019-05-01 21:45:00+09:00,0.0
P56,2019-05-01 22:00:00+09:00,0.0
P56,2019-05-01 22:15:00+09:00,0.0
P56,2019-05-01 22:30:00+09:00,0.0
P56,2019-05-01 22:45:00+09:00,0.0
P56,2019-05-01 23:00:00+09:00,0.0
P56,2019-05-01 23:15:00+09:00,0.0
P56,2019-05-01 23:30:00+09:00,0.0
P56,2019-05-01 23:45:00+09:00,0.0
P56,2019-05-02 00:00:00+09:00,0.0
P56,2019-05-02 00:15:00+09:00,0.0
P56,2019-05-02 00:30:00+09:00,0.0
P56,2019-05-02 00:45:00+09:00,0.0
P56,2019-05-02 01:00:00+09:00,0.0
P56,2019-05-02 01:15:00+09:00,0.0
P56,2019-05-02 01:30:00+09:00,0.0
P56,2019-05-02 01:45:00+09:00,0.0
P56,2019-05-02 02:00:00+09:00,0.0
P56,2019-05-02 02:15:00+09:00,0.0
P56,2019-05-02 02:30:00+09:00,0.0
P56,2019-05-02 02:45:00+09:00,0.0
P56,2019-05-02 03:00:00+09:00,0.0
P56,2019-05-02 03:15:00+09:00,0.0
P56,2019-05-02 03:30:00+09:00,0.0
P56,2019-05-02 03:45:00+09:00,0.0
P56,2019-05-02 04:00:00+09:00,0.0
P56,2019-05-02 04:15:00+09:00,0.0
P56,2019-05-02 04:30:00+09:00,0.0
P56,2019-05-02 04:45:00+09:00,0.0
P56,2019-05-02 05:00:00+09:00,0.0
P56,2019-05-02 05:15:00+09:00,0.0
P56,2019-05-02 05:30:00+09:00,0.0
P56,2019-05-02 05:45:00+09:00,0.0
P56,2019-05-02 06:00:00+09:00,0.0
P56,2019-05-02 06:15:00+09:00,0.0
P56,2019-05-02 06:30:00+09:00,0.0
P56,2019-05-02 06:45:00+09:00,0.0
P56,2019-05-02 07:00:00+09:00,0.0
P56,2019-05-02 07:15:00+09:00,0.0
P56,2019-05-02 07:30:00+09:00,0.0
P56,2019-05-02 07:45:00+09:00,0.0
P56,2019-05-02 08:00:00+09:00,0.0
P56,2019-05-02 08:15:00+09:00,0.0
P56,2019-05-02 08:30:00+09:00,0.0
P56,2019-05-02 08:45:00+09:00,0.0
P56,2019-05-02 09:00:00+09:00,0.0
P56,2019-05-02 09:15:00+09:00,0.0
P56,2019-05-02 09:30:00+09:00,0.0
P56,2019-05-02 09:45:00+09:00,0.0
P56,2019-05-02 10:00:00+09:00,0.0
P56,2019-05-02 10:15:00+09:00,0.0
P56,2019-05-02 10:30:00+09:00,0.0
P56,2019-05-02 10:45:00+09:00,0.0
P56,2019-05-02 11:00:00+09:00,0.0
P56,2019-05-02 11:15:00+09:00,66.0
P56,2019-05-02 11:30:00+09:00,248.0
P56,2019-05-02 11:45:00+09:00,178.0
P56,2019-05-02 12:00:00+09:00,78.0
P56,2019-05-02 12:15:00+09:00,0.0
P56,2019-05-02 12:30:00+09:00,0.0
P56,2019-05-02 12:45:00+09:00,10.0
P56,2019-05-02 13:00:00+09:00,62.0
P56,2019-05-02 13:15:00+09:00,104.0
P56,2019-05-02 13:30:00+09:00,0.0
P56,2019-05-02 13:45:00+09:00,0.0
P56,2019-05-02 14:00:00+09:00,200.0
P56,2019-05-02 14:15:00+09:00,476.0
P56,2019-05-02 14:30:00+09:00,0.0
P56,2019-05-02 14:45:00+09:00,0.0
P56,2019-05-02 15:00:00+09:00,0.0
P56,2019-05-02 15:15:00+09:00,0.0
P56,2019-05-02 15:30:00+09:00,0.0
P56,2019-05-02 15:45:00+09:00,458.0
P56,2019-05-02 16:00:00+09:00,1100.0
P56,2019-05-02 16:15:00+09:00,122.0
P56,2019-05-02 16:30:00+09:00,404.0
P56,2019-05-02 16:45:00+09:00,858.0
P56,2019-05-02 17:00:00+09:00,340.0
P56,2019-05-02 17:15:00+09:00,98.0
P56,2019-05-02 17:30:00+09:00,0.0
P56,2019-05-02 17:45:00+09:00,0.0
P56,2019-05-02 18:00:00+09:00,0.0
P56,2019-05-02 18:15:00+09:00,0.0
P56,2019-05-02 18:30:00+09:00,48.0
P56,2019-05-02 18:45:00+09:00,0.0
P56,2019-05-02 19:00:00+09:00,0.0
P56,2019-05-02 19:15:00+09:00,0.0
P56,2019-05-02 19:30:00+09:00,0.0
P56,2019-05-02 19:45:00+09:00,0.0
P56,2019-05-02 20:00:00+09:00,0.0
